"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","TC-001: Title @smoke @header @TC-001","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","2368","TC-011.1: Add task - valid name with defaults @smoke @add-task @view-list @user1 @TC-011","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1589","TC-013: Add task - task name contains special characters @smoke @add-task @view-list @TC-013","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","543","TC-002: Week Label - Default @smoke @week @week-label @TC-002","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","717","TC-005: Current Week Button - Default State @smoke @week @week-nav @TC-005","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","2256","TC-016.Like It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1605","TC-016.Like It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2394","TC-010:	Add task - empty task name not allowed @smoke @add-task @TC-010","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1320","TC-003: Week Label - Previous Week @smoke @week @week-label @TC-003","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1828","TC-008: Current Week Button - from Previous Week @smoke @week @week-nav @TC-008","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1610","TC-016.Love It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2320","TC-011.2: Add task - valid name with defaults @smoke @add-task @view-list @user2 @TC-011","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2201","TC-016.Love It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1619","TC-016.Tada: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2188","TC-016.Tada: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1659","TC-014: Add task - task name contains emojis @smoke @add-task @view-list @TC-014","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2209","TC-016.Gotta Have It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2313","TC-013: Add task - task name contains special characters @smoke @add-task @view-list @TC-013","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1605","TC-012: Add task - task name exceeds max character limit @smoke @add-task @view-list @TC-012","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2332","TC-015: Add task - non-default owner @smoke @add-task @view-list @TC-015","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1644","TC-011.2: Add task - valid name with defaults @smoke @add-task @view-list @user2 @TC-011","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1798","TC-003: Week Label - Previous Week @smoke @week @week-label @TC-003","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1631","TC-015: Add task - non-default owner @smoke @add-task @view-list @TC-015","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1456","TC-009: Current Week Button - from Next Week @smoke @week @week-nav @TC-009","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","2628","TC-020: Add task - repeat every other day @smoke @add-task @view-list @repeat-task @TC-020","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2093","TC-021: Add task - repeat day requires selection @smoke @add-task @repeat-task @TC-021","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1316","TC-006: Previous Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-006","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1521","TC-021: Add task - repeat day requires selection @smoke @add-task @repeat-task @TC-021","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2232","TC-012: Add task - task name exceeds max character limit @smoke @add-task @view-list @TC-012","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1708","TC-006: Previous Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-006","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1657","TC-017: Add task - repeat task count @smoke @add-task @view-list @TC-017","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","5395","TC-010:	Add task - empty task name not allowed @smoke @add-task @TC-010","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1583","TC-016.Gotta Have It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2275","TC-014: Add task - task name contains emojis @smoke @add-task @view-list @TC-014","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2588","TC-017: Add task - repeat task count @smoke @add-task @view-list @TC-017","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","714","TC-002: Week Label - Default @smoke @week @week-label @TC-002","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1320","TC-004: Week Label - Next Week @smoke @week @week-label @TC-004","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1434","TC-008: Current Week Button - from Previous Week @smoke @week @week-nav @TC-008","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1732","TC-004: Week Label - Next Week @smoke @week @week-label @TC-004","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1800","TC-020: Add task - repeat every other day @smoke @add-task @view-list @repeat-task @TC-020","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","3207","TC-019: Add task - repeat every day @smoke @add-task @view-list @repeat-task @TC-019","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","2142","TC-018: Add task - repeat task count must not exceed maximum @smoke @add-task @repeat-task @TC-018","webkit","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1709","TC-007: Next Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-007","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1636","TC-011.1: Add task - valid name with defaults @smoke @add-task @view-list @user1 @TC-011","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1940","TC-019: Add task - repeat every day @smoke @add-task @view-list @repeat-task @TC-019","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","1510","TC-018: Add task - repeat task count must not exceed maximum @smoke @add-task @repeat-task @TC-018","chromium","2026-07-29","passed","2026-07-29","","add-task.test.js","",""
"","564","TC-001: Title @smoke @header @TC-001","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1829","TC-009: Current Week Button - from Next Week @smoke @week @week-nav @TC-009","webkit","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","1319","TC-007: Next Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-007","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
"","530","TC-005: Current Week Button - Default State @smoke @week @week-nav @TC-005","chromium","2026-07-29","passed","2026-07-29","","home-header-nav.test.js","",""
